asin,title,brand,category,price,cost,units_sold,rating,reviews_count
B100029,Running Shoes,DeLonghi,Home Appliances,364.38,61.65,334,1.1,141
B100030,Fitness Tracker,Nike,Home Appliances,285.92,359.8,27,3.3,24
B100031,Coffee Maker,Apple,Clothing,358.45,302.46,330,3.2,761
B100032,Smartphone,Bose,Toys,214.78,149.38,123,3.6,32
B100033,Coffee Maker,Sony,Toys,42.47,257.3,156,1.1,687
B100034,Headphones,Nike,Books,164.34,185.61,217,3.1,550
B100035,Smartphone,Bose,Toys,164.36,31.28,194,1.5,377
B100036,Fitness Tracker,Sony,Books,14.25,289.85,301,1.6,367
B100037,Headphones,Canon,Health,14.69,306.49,161,1.9,211
B100038,Bluetooth Speaker,LogiTech,Electronics,172.07,353.52,128,3.5,875
B100039,Running Shoes,Canon,Books,366.54,218.55,316,2.6,132
B100040,Fitness Tracker,HP,Home Appliances,315.78,270.89,178,1.3,624
B100041,Bluetooth Speaker,Bose,Sports,127.12,178.03,126,2.2,148
B100042,Smartwatch,Apple,Beauty,305.35,130.97,174,1.3,826
B100043,Fitness Tracker,HP,Sports,327.22,167.62,35,3.7,375
B100044,Smartwatch,Nike,Clothing,266.06,365.14,239,3.2,76
B100045,Smartphone,Nike,Home Appliances,265.46,69.85,41,2.6,525
B100046,Bluetooth Speaker,Sony,Beauty,191.18,103.16,186,4.7,958
B100047,Running Shoes,HP,Books,70.46,244.45,461,3.1,565
B100048,Headphones,Sony,Home Appliances,198.89,50.93,183,4.6,764
B100049,Camera,Bose,Beauty,179.21,357.29,389,3.3,975
B100050,Coffee Maker,Nike,Clothing,300.07,23.66,261,2.5,684
B100051,Wireless Mouse,LogiTech,Toys,429.57,303.35,406,3.2,497
B100052,Running Shoes,Nike,Books,193.93,152.62,34,1.6,945
B100053,Bluetooth Speaker,DeLonghi,Health,357.77,25.21,449,3.7,680
B100054,Camera,Samsung,Home Appliances,407.8,337.96,187,4.9,91
B100055,Running Shoes,Apple,Toys,113.76,257.98,401,2.0,382
B100056,Bluetooth Speaker,HP,Beauty,451.81,8.5,307,2.3,640
B100057,Laptop,Sony,Clothing,44.52,110.68,433,2.6,507
B100058,Laptop,Samsung,Toys,451.84,144.06,137,2.9,129
B100059,Smartwatch,Samsung,Books,90.18,132.42,202,3.9,71
B100060,Running Shoes,Canon,Clothing,175.21,201.85,381,1.5,766
B100061,Laptop,Adidas,Clothing,306.57,213.09,143,2.2,652
B100062,Bluetooth Speaker,Canon,Clothing,453.78,161.72,109,3.2,997
B100063,Smartwatch,Canon,Beauty,135.29,136.05,157,3.4,402
B100064,Bluetooth Speaker,Apple,Electronics,384.15,204.24,255,3.1,510
B100065,Smartwatch,DeLonghi,Clothing,358.11,18.28,181,2.7,818
B100066,Running Shoes,Nike,Electronics,88.26,259.85,409,3.8,125
B100067,Camera,Canon,Toys,244.94,244.36,341,1.8,762
B100068,Headphones,Bose,Health,245.94,115.29,465,2.1,504
B100069,Fitness Tracker,Nike,Electronics,159.26,75.91,219,2.8,513
B100070,Camera,DeLonghi,Toys,392.16,33.83,28,3.8,478
B100071,Smartphone,Sony,Electronics,463.71,237.0,151,1.3,9
B100072,Bluetooth Speaker,Adidas,Toys,361.12,229.72,359,1.5,452
B100073,Smartphone,Nike,Toys,486.75,215.66,100,4.1,470
B100074,Camera,HP,Beauty,34.73,394.32,3,2.0,373
B100075,Smartwatch,Apple,Health,28.24,214.96,33,4.9,797
B100076,Fitness Tracker,Samsung,Clothing,447.99,290.11,199,4.8,735
B100077,Fitness Tracker,Sony,Health,449.92,49.6,69,3.7,64
B100078,Wireless Mouse,DeLonghi,Health,62.49,123.09,90,3.9,108
B100079,Fitness Tracker,Canon,Clothing,185.15,113.8,17,3.6,299
B100080,Headphones,Bose,Toys,419.34,232.51,337,1.7,41
B100081,Fitness Tracker,Bose,Clothing,72.98,135.67,367,3.0,258
B100082,Camera,Adidas,Toys,141.04,258.22,323,4.2,622
B100083,Wireless Mouse,DeLonghi,Clothing,343.69,277.59,323,4.1,413
B100084,Camera,Sony,Beauty,491.13,18.31,34,4.6,932
B100085,Camera,HP,Sports,400.6,257.7,264,4.6,27
B100086,Coffee Maker,Samsung,Electronics,390.89,51.13,301,2.0,562
B100087,Wireless Mouse,Canon,Health,177.9,188.73,60,3.9,370
B100088,Camera,Apple,Toys,334.06,292.0,184,3.6,212
B100089,Coffee Maker,LogiTech,Home Appliances,65.41,282.82,326,4.5,636
B100090,Coffee Maker,LogiTech,Clothing,496.21,123.43,357,1.7,780
B100091,Wireless Mouse,Canon,Clothing,245.49,112.58,365,4.0,551
B100092,Smartphone,Sony,Books,323.02,178.89,406,2.7,153
B100093,Smartwatch,Canon,Home Appliances,439.32,79.52,417,2.6,871
B100094,Headphones,DeLonghi,Home Appliances,10.47,390.01,434,1.1,157
B100095,Smartwatch,LogiTech,Beauty,488.23,141.24,199,4.8,919
B100096,Fitness Tracker,Adidas,Health,185.99,369.58,241,3.7,293
B100097,Headphones,DeLonghi,Sports,176.4,363.76,232,3.4,360
B100098,Fitness Tracker,LogiTech,Electronics,81.08,149.12,211,2.0,365
B100099,Camera,HP,Sports,430.51,105.36,368,3.6,452
B100100,Bluetooth Speaker,Samsung,Electronics,436.71,309.48,430,4.8,783
B100101,Wireless Mouse,Bose,Toys,19.79,95.6,52,1.7,621
B100102,Headphones,DeLonghi,Health,37.31,210.89,119,4.9,233
B100103,Headphones,Bose,Sports,459.99,48.72,330,2.7,822
B100104,Camera,Bose,Books,70.21,157.44,215,4.9,176
B100105,Smartphone,LogiTech,Electronics,314.25,35.87,322,3.5,638
B100106,Coffee Maker,DeLonghi,Sports,313.63,116.96,149,2.3,591
B100107,Camera,Samsung,Health,436.17,267.79,408,2.5,51
B100108,Laptop,HP,Books,290.6,396.57,176,2.2,816
B100109,Coffee Maker,Nike,Health,222.67,105.65,377,2.3,447
B100110,Wireless Mouse,Adidas,Home Appliances,487.45,191.96,269,3.6,815
B100111,Coffee Maker,Bose,Clothing,122.12,181.98,320,1.1,329
B100112,Smartphone,Samsung,Toys,138.73,77.74,5,4.9,593
B100113,Coffee Maker,Apple,Beauty,51.54,245.98,402,4.1,805
B100114,Wireless Mouse,Apple,Health,487.91,291.26,116,4.8,784
B100115,Smartphone,Nike,Toys,356.12,63.15,203,3.9,552
B100116,Smartwatch,Nike,Health,15.93,304.06,37,2.9,821
B100117,Headphones,Nike,Home Appliances,355.11,281.56,54,1.8,295
B100118,Headphones,Adidas,Health,208.03,82.95,288,3.1,798
B100119,Fitness Tracker,Adidas,Health,484.1,261.33,284,3.8,345
B100120,Smartwatch,HP,Sports,145.92,160.5,86,4.4,153
B100121,Smartwatch,Bose,Clothing,358.04,274.05,45,2.3,231
B100122,Coffee Maker,Sony,Home Appliances,317.44,200.96,284,3.0,331
B100123,Headphones,Apple,Books,15.9,24.01,321,3.5,145
B100124,Wireless Mouse,LogiTech,Clothing,443.76,315.85,70,3.4,481
B100125,Running Shoes,LogiTech,Electronics,78.41,224.46,459,1.2,802
B100126,Running Shoes,Nike,Sports,335.16,291.29,42,2.9,378
B100127,Smartphone,Canon,Clothing,390.02,54.8,417,4.2,375
B100128,Headphones,Apple,Electronics,319.15,289.9,272,4.2,970
B100129,Headphones,Sony,Home Appliances,57.59,168.4,141,3.0,567
B100130,Running Shoes,Sony,Health,487.84,320.71,405,4.8,884
B100131,Headphones,LogiTech,Toys,126.04,241.67,59,4.3,29
B100132,Coffee Maker,Canon,Clothing,317.65,145.19,240,3.9,428
B100133,Laptop,Sony,Clothing,400.62,84.76,47,3.1,497
B100134,Bluetooth Speaker,Apple,Electronics,470.23,327.29,167,3.4,586
B100135,Smartwatch,Bose,Beauty,305.97,226.28,110,1.9,493
B100136,Fitness Tracker,Samsung,Electronics,136.94,395.05,126,3.1,563
B100137,Smartphone,Canon,Toys,419.95,152.53,472,3.1,195
B100138,Laptop,Sony,Electronics,89.98,275.86,299,1.8,822
B100139,Running Shoes,Canon,Electronics,20.92,251.01,411,4.8,739
B100140,Smartwatch,Canon,Clothing,454.99,256.84,109,2.0,137
B100141,Headphones,Bose,Toys,291.94,296.11,165,1.4,693
B100142,Fitness Tracker,Apple,Toys,44.12,59.95,370,2.9,801
B100143,Headphones,LogiTech,Health,294.07,222.11,259,3.7,190
B100144,Wireless Mouse,Bose,Clothing,81.06,206.11,76,1.8,670
B100145,Wireless Mouse,Sony,Health,25.38,140.3,7,1.7,703
B100146,Fitness Tracker,Nike,Home Appliances,67.1,177.28,186,2.0,479
B100147,Fitness Tracker,Bose,Beauty,389.8,209.93,276,2.2,177
B100148,Running Shoes,Nike,Beauty,380.27,131.76,79,2.0,411
B100149,Fitness Tracker,DeLonghi,Home Appliances,306.12,120.8,65,2.9,362
B100150,Coffee Maker,LogiTech,Beauty,112.57,296.62,115,1.1,548
B100151,Headphones,Apple,Beauty,372.09,31.43,202,1.4,735
B100152,Laptop,Samsung,Clothing,209.94,128.62,142,3.9,671
B100153,Camera,Canon,Electronics,260.27,263.22,463,2.6,720
B100154,Fitness Tracker,Nike,Sports,449.84,87.47,98,2.4,993
B100155,Smartphone,Samsung,Home Appliances,234.35,231.05,305,1.0,802
B100156,Wireless Mouse,Samsung,Home Appliances,316.92,124.35,217,2.2,248
B100157,Coffee Maker,Nike,Clothing,481.26,338.1,479,4.3,696
B100158,Smartwatch,Samsung,Health,231.18,143.25,74,2.4,998
B100159,Camera,Canon,Clothing,284.76,95.66,293,4.9,444
B100160,Laptop,HP,Sports,296.36,214.39,134,2.6,340
B100161,Camera,DeLonghi,Sports,127.95,58.59,262,2.9,799
B100162,Fitness Tracker,Nike,Beauty,371.09,320.01,284,4.2,737
B100163,Running Shoes,Canon,Toys,366.05,273.61,102,4.9,225
B100164,Wireless Mouse,LogiTech,Beauty,114.64,309.35,377,2.5,7
B100165,Wireless Mouse,Nike,Clothing,16.54,162.56,206,1.5,975
B100166,Smartwatch,Canon,Home Appliances,499.48,334.83,141,3.1,930
B100167,Running Shoes,Canon,Health,294.98,199.95,13,3.4,534
B100168,Headphones,Bose,Beauty,98.71,42.41,249,4.8,981
B100169,Bluetooth Speaker,HP,Health,148.95,93.49,123,2.7,734
B100170,Coffee Maker,Nike,Beauty,312.72,285.87,10,1.4,348
B100171,Wireless Mouse,Apple,Beauty,77.43,359.09,80,3.6,165
B100172,Smartphone,Canon,Books,28.27,42.6,167,1.1,274
B100173,Wireless Mouse,DeLonghi,Books,401.26,346.36,99,2.7,949
B100174,Camera,Bose,Beauty,360.76,320.63,207,2.6,812
B100175,Wireless Mouse,Canon,Electronics,161.7,145.84,151,2.0,547
B100176,Wireless Mouse,Nike,Home Appliances,38.66,277.26,37,4.9,688
B100177,Bluetooth Speaker,Sony,Beauty,248.27,78.85,377,2.6,699
B100178,Bluetooth Speaker,Canon,Books,145.33,326.29,264,4.6,311
B100179,Laptop,Adidas,Health,204.91,264.65,474,3.1,968
B100180,Headphones,Sony,Home Appliances,144.24,178.34,444,4.3,831
B100181,Smartphone,Canon,Clothing,95.88,346.48,342,2.8,829
B100182,Wireless Mouse,Samsung,Home Appliances,199.62,60.0,5,5.0,226
B100183,Wireless Mouse,Canon,Books,482.8,339.09,378,3.6,58
B100184,Coffee Maker,LogiTech,Health,140.45,14.44,226,1.6,768
B100185,Bluetooth Speaker,Samsung,Home Appliances,174.62,302.51,27,1.0,96
B100186,Smartphone,Nike,Sports,171.33,231.48,124,4.7,720
B100187,Smartwatch,DeLonghi,Electronics,245.34,280.21,403,3.7,248
B100188,Laptop,Sony,Toys,423.32,167.88,427,1.4,985
B100189,Headphones,Apple,Health,207.04,346.45,299,4.0,844
B100190,Running Shoes,Bose,Books,405.01,128.69,35,1.9,260
B100191,Headphones,DeLonghi,Clothing,66.36,113.61,237,4.2,402
B100192,Camera,Samsung,Toys,448.5,124.19,468,3.4,57
B100193,Wireless Mouse,Bose,Electronics,100.8,310.87,499,1.5,56
B100194,Laptop,Sony,Health,29.21,200.64,311,1.3,681
B100195,Camera,Apple,Beauty,87.59,217.15,317,2.9,72
B100196,Smartphone,Adidas,Health,103.47,333.5,303,4.7,389
B100197,Running Shoes,Adidas,Sports,259.17,334.18,102,3.3,852
B100198,Bluetooth Speaker,Apple,Sports,230.47,68.89,77,4.0,533
B100199,Laptop,Bose,Sports,360.78,222.16,312,2.9,52
B100200,Laptop,Nike,Sports,34.97,54.78,82,2.5,568
B100201,Wireless Mouse,Bose,Books,253.88,348.07,146,4.3,893
B100202,Fitness Tracker,Canon,Health,172.91,335.62,193,2.9,102
B100203,Laptop,Bose,Books,319.05,340.49,224,1.6,111
B100204,Coffee Maker,Nike,Home Appliances,31.41,283.42,53,2.1,818
B100205,Running Shoes,DeLonghi,Clothing,27.12,189.42,345,3.2,772
B100206,Running Shoes,Sony,Home Appliances,219.35,164.86,85,2.6,917
B100207,Coffee Maker,Bose,Clothing,407.56,161.11,475,2.5,506
B100208,Smartwatch,Sony,Electronics,338.84,31.15,395,3.7,369
B100209,Coffee Maker,Samsung,Beauty,18.19,379.8,368,3.5,646
B100210,Coffee Maker,Adidas,Home Appliances,97.45,182.86,129,2.3,831
B100211,Running Shoes,Adidas,Electronics,121.1,372.4,211,2.4,184
B100212,Headphones,Nike,Beauty,217.3,352.31,352,4.0,25
B100213,Running Shoes,Samsung,Electronics,297.49,332.3,264,4.7,24
B100214,Fitness Tracker,Adidas,Electronics,116.07,237.38,403,2.3,836
B100215,Wireless Mouse,Nike,Sports,197.43,45.11,183,2.2,927
B100216,Camera,Bose,Toys,296.13,132.95,272,2.1,263
B100217,Headphones,Samsung,Toys,197.88,243.42,227,1.6,520
B100218,Bluetooth Speaker,Canon,Books,80.15,10.32,322,2.5,821
B100219,Camera,Canon,Electronics,250.91,21.84,12,3.1,219
B100220,Wireless Mouse,Canon,Sports,168.76,272.68,93,3.1,787
B100221,Fitness Tracker,DeLonghi,Home Appliances,433.45,355.84,330,3.8,451
B100222,Fitness Tracker,Canon,Home Appliances,390.06,342.79,190,1.2,706
B100223,Bluetooth Speaker,Samsung,Books,103.23,71.42,86,3.2,171
B100224,Headphones,LogiTech,Books,84.79,364.94,354,2.0,936
B100225,Smartwatch,Adidas,Electronics,180.36,280.04,442,2.0,169
B100226,Coffee Maker,Canon,Beauty,211.97,287.95,277,4.2,394
B100227,Headphones,Samsung,Electronics,466.69,125.1,293,1.6,111
B100228,Smartwatch,HP,Beauty,157.79,287.82,261,2.3,988
B100229,Fitness Tracker,Bose,Home Appliances,435.12,285.36,198,3.6,894
B100230,Running Shoes,DeLonghi,Home Appliances,257.6,239.89,416,3.6,682
B100231,Wireless Mouse,Sony,Home Appliances,443.96,146.13,323,1.2,725
B100232,Bluetooth Speaker,Nike,Home Appliances,353.96,325.35,10,1.3,903
B100233,Wireless Mouse,HP,Toys,357.11,375.32,453,3.6,685
B100234,Smartphone,HP,Electronics,264.21,348.61,88,4.8,289
B100235,Smartphone,DeLonghi,Electronics,421.75,100.98,340,5.0,990
B100236,Headphones,Nike,Home Appliances,134.67,181.04,318,4.9,579
B100237,Fitness Tracker,DeLonghi,Sports,454.6,140.25,37,2.4,910
B100238,Fitness Tracker,Canon,Home Appliances,322.02,284.45,223,2.0,657
B100239,Coffee Maker,Sony,Clothing,224.97,333.44,175,1.4,138
B100240,Coffee Maker,Nike,Health,491.27,90.24,209,2.3,218
B100241,Coffee Maker,Samsung,Health,432.39,379.17,49,2.1,402
B100242,Running Shoes,Adidas,Books,388.29,272.55,24,3.3,497
B100243,Camera,DeLonghi,Clothing,144.21,91.29,338,2.5,840
B100244,Laptop,Sony,Sports,487.13,151.58,410,1.9,24
B100245,Camera,Bose,Books,374.06,46.32,106,3.5,405
B100246,Wireless Mouse,LogiTech,Health,306.56,240.84,311,2.3,251
B100247,Camera,Bose,Sports,461.68,71.83,263,2.4,726
B100248,Running Shoes,LogiTech,Books,89.47,278.77,491,3.4,445
B100249,Wireless Mouse,Apple,Home Appliances,78.12,296.21,206,1.5,676
B100250,Camera,Samsung,Beauty,286.22,194.34,169,4.1,905
B100251,Running Shoes,Apple,Home Appliances,37.79,42.06,497,4.9,592
B100252,Laptop,DeLonghi,Sports,335.35,246.29,386,3.0,819
B100253,Camera,DeLonghi,Books,127.96,152.02,158,3.2,76
B100254,Running Shoes,LogiTech,Toys,68.32,380.11,241,2.5,323
B100255,Coffee Maker,Nike,Sports,210.65,207.72,465,4.8,479
B100256,Fitness Tracker,Sony,Beauty,238.32,33.55,123,1.5,283
B100257,Coffee Maker,Canon,Sports,93.54,256.24,20,4.3,157
B100258,Fitness Tracker,HP,Beauty,30.35,312.84,56,3.6,685
B100259,Bluetooth Speaker,DeLonghi,Clothing,212.89,68.4,458,4.2,167
B100260,Bluetooth Speaker,Apple,Electronics,382.17,182.38,280,4.8,148
B100261,Bluetooth Speaker,Apple,Sports,438.36,298.56,108,3.0,142
B100262,Laptop,Bose,Toys,57.8,13.09,140,2.2,642
B100263,Coffee Maker,Samsung,Home Appliances,267.09,16.44,91,4.1,336
B100264,Fitness Tracker,LogiTech,Books,139.07,272.38,271,4.4,462
B100265,Running Shoes,HP,Electronics,193.57,291.42,329,3.7,96
B100266,Wireless Mouse,LogiTech,Books,467.39,339.12,210,4.4,452
B100267,Running Shoes,DeLonghi,Home Appliances,182.52,162.84,176,3.9,263
B100268,Wireless Mouse,Adidas,Sports,189.02,158.96,61,4.8,392
B100269,Smartphone,HP,Clothing,112.6,223.19,455,3.3,889
B100270,Running Shoes,Bose,Toys,480.41,304.14,284,2.5,345
B100271,Camera,Apple,Electronics,233.68,258.19,366,3.7,385
B100272,Camera,Bose,Toys,289.49,134.29,484,1.3,164
B100273,Headphones,DeLonghi,Beauty,232.05,141.89,3,3.0,509
B100274,Coffee Maker,Adidas,Health,133.93,306.39,492,4.1,483
B100275,Wireless Mouse,Canon,Toys,407.1,216.19,272,1.7,395
B100276,Wireless Mouse,HP,Toys,23.95,43.7,164,2.6,530
B100277,Coffee Maker,LogiTech,Toys,348.22,65.43,388,2.4,794
B100278,Laptop,HP,Home Appliances,301.19,341.22,483,2.3,919
B100279,Headphones,Apple,Toys,80.7,399.53,9,3.6,449
B100280,Laptop,LogiTech,Clothing,91.29,137.59,366,3.0,527
B100281,Laptop,Canon,Toys,333.02,157.75,12,4.2,513
B100282,Laptop,Canon,Home Appliances,162.95,66.02,74,1.2,404
B100283,Coffee Maker,Samsung,Beauty,140.21,98.11,238,2.8,521
B100284,Laptop,LogiTech,Books,38.99,172.73,300,1.1,953
B100285,Camera,Sony,Home Appliances,385.58,117.33,108,1.9,617
B100286,Bluetooth Speaker,Adidas,Health,442.51,282.06,450,4.1,16
B100287,Smartphone,Sony,Health,411.72,217.45,403,1.4,203
B100288,Wireless Mouse,Canon,Clothing,238.36,329.81,13,1.4,6
B100289,Wireless Mouse,LogiTech,Beauty,271.64,291.19,234,2.6,712
B100290,Smartphone,Samsung,Clothing,128.72,55.6,439,4.1,557
B100291,Coffee Maker,HP,Sports,94.7,53.74,245,3.6,689
B100292,Running Shoes,HP,Home Appliances,413.27,358.78,481,4.1,510
B100293,Coffee Maker,HP,Books,401.19,328.71,321,1.2,9
B100294,Wireless Mouse,Samsung,Sports,390.91,189.83,92,3.3,783
B100295,Wireless Mouse,DeLonghi,Sports,237.05,56.49,360,2.8,768
B100296,Smartphone,LogiTech,Electronics,433.61,359.94,198,4.6,648
B100297,Laptop,Sony,Toys,463.85,96.13,116,3.9,12
B100298,Coffee Maker,Adidas,Sports,170.89,19.04,131,2.7,188
B100299,Fitness Tracker,Canon,Sports,120.1,370.07,365,3.2,431
B100300,Smartphone,Adidas,Clothing,237.49,324.53,153,2.7,143
B100301,Camera,Canon,Books,97.87,278.93,121,2.8,737
B100302,Wireless Mouse,LogiTech,Sports,443.16,18.44,108,3.5,424
B100303,Smartphone,LogiTech,Beauty,175.62,213.73,436,1.9,285
B100304,Coffee Maker,Bose,Health,292.32,263.19,16,2.3,716
B100305,Wireless Mouse,Sony,Books,301.41,304.94,299,2.1,327
B100306,Running Shoes,Apple,Toys,262.34,191.07,56,4.2,694
B100307,Smartphone,Canon,Health,86.7,381.57,452,4.8,522
B100308,Headphones,Nike,Clothing,495.59,101.69,392,2.7,880
B100309,Wireless Mouse,Apple,Beauty,94.58,32.55,103,1.3,435
B100310,Coffee Maker,HP,Health,378.24,136.44,208,1.4,990
B100311,Bluetooth Speaker,Adidas,Electronics,397.77,266.41,428,2.6,490
B100312,Fitness Tracker,LogiTech,Electronics,81.13,296.18,422,2.6,330
B100313,Smartwatch,Nike,Toys,467.25,296.71,151,1.6,47
B100314,Laptop,Canon,Toys,249.0,48.72,262,4.2,774
B100315,Smartwatch,DeLonghi,Health,318.15,354.61,43,3.0,949
B100316,Coffee Maker,Canon,Clothing,324.67,115.93,300,1.4,256
B100317,Camera,Adidas,Beauty,257.43,87.91,464,1.4,86
B100318,Camera,Canon,Clothing,79.59,247.71,118,2.8,31
B100319,Bluetooth Speaker,Canon,Beauty,378.36,88.68,336,1.5,317
B100320,Laptop,Samsung,Home Appliances,295.08,205.68,279,3.2,142
B100321,Headphones,Sony,Sports,68.15,165.78,144,2.5,977
B100322,Bluetooth Speaker,Apple,Sports,353.16,96.65,228,4.7,91
B100323,Smartwatch,DeLonghi,Beauty,354.35,120.36,204,2.7,188
B100324,Bluetooth Speaker,LogiTech,Sports,278.76,173.83,229,3.5,77
B100325,Smartwatch,Canon,Books,54.37,141.73,265,4.2,844
B100326,Wireless Mouse,DeLonghi,Home Appliances,182.8,155.72,466,2.2,439
B100327,Camera,Bose,Health,34.95,295.5,137,3.0,33
B100328,Wireless Mouse,Canon,Sports,244.02,71.51,240,1.5,659
B100329,Fitness Tracker,Samsung,Books,454.16,252.91,469,2.7,117
B100330,Laptop,Samsung,Beauty,11.1,272.87,186,2.5,23
B100331,Headphones,Nike,Beauty,140.65,321.82,449,2.7,539
B100332,Smartwatch,HP,Books,401.93,339.69,315,1.4,778
B100333,Headphones,Adidas,Electronics,14.83,67.67,151,2.6,754
B100334,Smartwatch,Apple,Books,14.98,59.61,325,4.5,987
B100335,Coffee Maker,Bose,Toys,309.3,247.83,403,4.7,725
B100336,Bluetooth Speaker,Adidas,Clothing,396.71,303.98,291,2.0,413
B100337,Fitness Tracker,Adidas,Books,390.49,112.57,353,2.2,549
B100338,Camera,Nike,Toys,391.99,212.71,439,1.0,720
B100339,Smartwatch,Samsung,Toys,186.89,310.03,110,1.5,213
B100340,Headphones,Sony,Electronics,442.53,308.16,466,2.4,128
B100341,Fitness Tracker,DeLonghi,Health,16.29,263.26,40,3.7,632
B100342,Running Shoes,LogiTech,Electronics,162.97,36.12,142,2.2,211
B100343,Running Shoes,Sony,Beauty,175.22,25.0,340,1.3,452
B100344,Wireless Mouse,Sony,Beauty,91.13,158.44,372,3.9,160
B100345,Camera,HP,Books,174.75,15.54,13,2.9,108
B100346,Coffee Maker,HP,Electronics,297.08,362.14,53,3.1,576
B100347,Headphones,Sony,Electronics,264.94,12.96,80,2.3,427
B100348,Bluetooth Speaker,Samsung,Health,166.52,16.7,233,3.5,63
B100349,Bluetooth Speaker,Adidas,Clothing,377.17,70.3,351,4.6,8
B100350,Headphones,DeLonghi,Sports,360.25,252.67,39,3.2,31
B100351,Laptop,Adidas,Beauty,147.54,218.91,227,3.4,821
B100352,Coffee Maker,Adidas,Books,168.38,265.5,340,2.5,124
B100353,Fitness Tracker,Adidas,Beauty,150.88,357.95,121,1.3,281
B100354,Smartwatch,DeLonghi,Health,73.14,184.7,65,2.7,829
B100355,Laptop,DeLonghi,Books,378.86,22.33,440,4.7,620
B100356,Smartwatch,Nike,Beauty,32.68,306.58,296,3.7,169
B100357,Smartwatch,Apple,Books,83.78,325.73,430,3.0,175
B100358,Laptop,Sony,Electronics,61.6,24.71,205,3.5,901
B100359,Wireless Mouse,Canon,Clothing,414.42,100.93,135,3.2,244
B100360,Running Shoes,Nike,Electronics,31.56,309.39,45,4.6,885
B100361,Smartwatch,Nike,Toys,335.67,153.58,278,1.9,255
B100362,Laptop,LogiTech,Home Appliances,31.79,191.7,135,4.6,797
B100363,Laptop,Canon,Home Appliances,395.36,330.15,378,3.8,743
B100364,Smartphone,HP,Health,457.23,42.37,468,1.5,150
B100365,Wireless Mouse,LogiTech,Home Appliances,248.55,272.53,52,2.5,102
B100366,Camera,HP,Health,404.23,89.92,229,2.7,984
B100367,Smartphone,Apple,Sports,356.14,29.75,356,1.3,536
B100368,Smartphone,Bose,Electronics,399.86,266.69,68,3.2,140
B100369,Headphones,HP,Beauty,385.72,52.96,198,2.0,664
B100370,Running Shoes,Adidas,Toys,110.63,300.07,494,2.8,272
B100371,Laptop,HP,Toys,254.78,85.07,67,2.8,619
B100372,Running Shoes,Canon,Home Appliances,480.6,24.16,3,3.1,26
B100373,Coffee Maker,DeLonghi,Clothing,178.33,44.22,58,4.4,650
B100374,Headphones,Canon,Sports,485.54,337.3,376,4.1,133
B100375,Camera,Apple,Health,295.75,151.53,451,4.5,590
B100376,Running Shoes,Nike,Sports,236.19,124.4,256,3.3,292
B100377,Bluetooth Speaker,Adidas,Home Appliances,332.3,199.02,356,3.5,223
B100378,Smartwatch,Bose,Health,409.76,255.01,438,2.7,367
B100379,Coffee Maker,Apple,Health,203.16,19.66,265,3.9,727
B100380,Wireless Mouse,Nike,Home Appliances,26.15,359.78,438,1.8,714
B100381,Camera,Samsung,Beauty,357.32,383.6,464,2.9,105
B100382,Coffee Maker,Canon,Electronics,478.52,169.84,435,3.9,476
B100383,Smartwatch,Apple,Clothing,316.24,167.99,16,4.1,967
B100384,Headphones,Canon,Sports,102.32,352.03,268,2.0,887
